"Kod";"Nazwa";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;ogółem;2021;[zł]";"rynek pierwotny;ogółem;2022;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;do 40 m2;2021;[zł]";"rynek pierwotny;do 40 m2;2022;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2022;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2022;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2021;[zł]";"rynek pierwotny;od 80,1 m2;2022;[zł]";"rynek wtórny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2019;[zł]";"rynek wtórny;ogółem;2020;[zł]";"rynek wtórny;ogółem;2021;[zł]";"rynek wtórny;ogółem;2022;[zł]";"rynek wtórny;do 40 m2;2018;[zł]";"rynek wtórny;do 40 m2;2019;[zł]";"rynek wtórny;do 40 m2;2020;[zł]";"rynek wtórny;do 40 m2;2021;[zł]";"rynek wtórny;do 40 m2;2022;[zł]";"rynek wtórny;od 40,1 do 60 m2;2018;[zł]";"rynek wtórny;od 40,1 do 60 m2;2019;[zł]";"rynek wtórny;od 40,1 do 60 m2;2020;[zł]";"rynek wtórny;od 40,1 do 60 m2;2021;[zł]";"rynek wtórny;od 40,1 do 60 m2;2022;[zł]";"rynek wtórny;od 60,1 do 80 m2;2018;[zł]";"rynek wtórny;od 60,1 do 80 m2;2019;[zł]";"rynek wtórny;od 60,1 do 80 m2;2020;[zł]";"rynek wtórny;od 60,1 do 80 m2;2021;[zł]";"rynek wtórny;od 60,1 do 80 m2;2022;[zł]";"rynek wtórny;od 80,1 m2;2018;[zł]";"rynek wtórny;od 80,1 m2;2019;[zł]";"rynek wtórny;od 80,1 m2;2020;[zł]";"rynek wtórny;od 80,1 m2;2021;[zł]";"rynek wtórny;od 80,1 m2;2022;[zł]";
0209000;"Powiat legnicki";167079;0;317637;316955;;0;0;0;0;;162687;0;0;236744;;0;0;317637;328531;;0;0;0;414375;;124546;128134;169845;203237;;71696;73134;88054;111491;;107167;123820;151150;172650;;153122;163100;196621;210022;;198454;190455;229987;349696;;
0210000;"Powiat lubański";156640;238478;0;0;;122465;172567;0;0;;186998;270722;0;0;;0;218407;0;0;;0;0;0;0;;111578;138302;145512;173241;;74336;83066;87313;107656;;107365;131219;143065;179364;;141231;182001;215183;231823;;163769;212808;193044;213155;;
0211000;"Powiat lubiński";249893;240550;288891;297259;;150202;144458;185903;180775;;226243;217501;249363;268381;;277636;296770;345595;345521;;392975;384823;418546;426261;;166747;185314;212381;227480;;104526;119726;136277;143658;;161841;175975;206126;219948;;221682;254150;266293;296441;;320118;307154;407624;408219;;
0212000;"Powiat lwówecki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;84001;90658;114467;106324;;57652;61623;74637;68419;;90840;88999;101724;105917;;105425;113255;157588;153828;;145000;141462;163083;129267;;
0213000;"Powiat milicki";325994;318562;274346;307533;;0;0;183507;214450;;0;0;272690;281943;;0;0;340555;357367;;325994;359375;428125;478333;;141632;136992;144073;173061;;61143;88864;84624;112603;;145020;146500;133862;180537;;173538;152331;202229;213536;;231389;176867;187857;235929;;
0214000;"Powiat oleśnicki";230959;295831;257827;316677;;143144;0;172262;193383;;211683;260089;236392;0;;277570;320351;338594;333297;;397583;414781;377531;401500;;162090;181347;209322;245080;;99921;120406;122631;145819;;162398;176384;213065;237973;;223762;227309;253400;286373;;204738;273181;318982;392796;;
0215000;"Powiat oławski";216752;237887;246812;274697;;139360;158592;162635;174528;;190722;206394;225273;239095;;243520;256667;305597;352171;;362167;331667;361000;450720;;192537;218660;245119;286740;;131018;133731;146467;185835;;184977;215787;222977;269090;;250082;259627;301423;360807;;301143;310368;353664;410613;;
0216000;"Powiat polkowicki";231687;260967;0;297495;;122948;161404;0;173897;;212233;206022;0;245067;;270944;278566;0;322747;;0;331876;0;364288;;141751;153465;178114;176409;;97330;104032;104337;112182;;140916;152641;163544;162810;;183818;205642;197960;235984;;179750;181584;323521;271158;;
0217000;"Powiat strzeliński";215568;235534;241560;0;;148258;0;0;0;;206845;230396;244364;0;;284795;248576;226400;0;;0;0;0;0;;144067;135162;147882;176314;;94665;85191;89345;122304;;139956;133990;167620;186241;;198114;170172;164976;197578;;179050;185400;208889;276800;;
0218000;"Powiat średzki";238520;268566;272772;308152;;174426;179641;201591;204927;;234195;245198;270433;260573;;301753;309100;335158;339973;;0;381342;404900;471753;;186769;216315;254874;287126;;95674;146077;168774;177126;;168018;209053;225765;273208;;246937;275314;281285;336049;;312091;313633;416812;353656;;
0219000;"Powiat świdnicki";239249;254933;274382;304137;;129987;159374;176827;208506;;205458;211785;226202;286690;;274779;284387;296263;371722;;381540;399217;420889;502504;;139883;157838;181325;208027;;82854;90253;107698;124536;;129472;150599;173611;202315;;188215;206304;239618;261613;;227606;244917;271148;304241;;
0220000;"Powiat trzebnicki";220139;301584;280210;294273;;128927;127740;124310;179332;;200686;204973;209212;285890;;279104;310133;322556;367862;;0;525652;470027;380262;;187013;214012;237415;291125;;98226;128013;116749;150268;;167500;181520;213608;242125;;248853;279226;295981;344093;;329543;366539;405306;483950;;
0221000;"Powiat wałbrzyski";214088;205436;238968;244167;;0;138336;156000;115360;;166714;197201;220459;140200;;0;290358;294944;0;;343796;352660;0;369886;;77743;91954;100002;119368;;44034;51290;55594;65931;;77034;85233;95293;113712;;110156;137092;143932;157573;;163905;194518;213016;287206;;
0222000;"Powiat wołowski";219285;234843;238501;251986;;0;0;0;176659;;185604;0;180209;224753;;235984;250086;261337;293869;;0;0;360589;0;;133381;143150;161215;177764;;86758;86758;96938;110102;;133297;145631;166705;182969;;171678;174367;187655;223835;;186673;239370;248500;332538;;
0223000;"Powiat wrocławski";285965;294226;329523;363915;;173381;173369;207495;218566;;242838;235495;281957;292094;;308064;325114;335504;356898;;424533;429928;479292;547594;;278519;298589;356798;407586;;148395;159599;173730;199504;;228716;246942;283970;320186;;319383;337223;376275;430728;;409305;431808;491005;534161;;
0224000;"Powiat ząbkowicki";0;164800;199957;236206;;0;0;103167;180501;;0;151000;204022;212715;;0;0;287262;295450;;0;0;0;0;;105879;103414;106325;125700;;56375;58975;68366;79740;;100602;92991;96298;120648;;144827;146205;139904;161010;;167606;147650;179156;195554;;
0225000;"Powiat zgorzelecki";0;221931;202771;220139;;0;0;0;152000;;0;219706;225361;243368;;0;235000;0;0;;0;0;0;0;;130621;152731;167367;180806;;92172;99877;109006;116519;;123004;143603;163784;171029;;164443;200531;217157;241343;;221288;265131;286477;332193;;
0226000;"Powiat złotoryjski";0;0;377250;386889;;0;0;0;0;;0;0;0;301700;;0;0;0;357296;;0;0;377250;488545;;110643;115602;136282;148703;;77924;76520;91613;98452;;115185;116147;131600;153094;;136052;155031;184145;196921;;154891;148450;170906;231996;;
0261000;"Powiat m. Jelenia Góra";218749;238644;317512;312065;;137943;151199;190057;193714;;199209;210883;296447;293518;;250283;300188;381371;364642;;323619;443997;440224;460974;;150044;178125;200611;235712;;105058;115489;127637;152823;;142484;163870;194542;234299;;185270;217721;254479;271338;;206918;257540;296480;333907;;
0262000;"Powiat m. Legnica";249884;239463;276196;250305;;138760;139758;166075;174529;;207876;203290;249014;261781;;259209;264489;287785;360846;;397725;365391;387164;385329;;161888;193701;214871;250244;;104617;111447;131841;162563;;146418;173183;203103;224307;;181728;215124;247003;280973;;241068;292208;307830;384652;;
0264000;"Powiat m. Wrocław";346789;349995;376075;448282;;231009;238604;266957;312909;;309783;318621;348703;407546;;399056;424546;449574;517246;;591901;609735;616843;753826;;308130;338163;393483;445419;;211612;236107;275979;310448;;285860;312143;368834;420225;;354260;396542;470220;540241;;510666;573496;683009;793058;;
0265000;"Powiat m. Wałbrzych od 2013";140875;202647;169760;239041;;82333;0;87375;158473;;163250;183140;163138;215460;;0;251840;208728;295882;;0;0;0;457563;;103601;112301;123477;150615;;69884;77688;83855;99197;;104422;118582;126420;152540;;143391;140523;172933;207241;;162429;190587;206044;241215;;
0400000;"KUJAWSKO-POMORSKIE";245528;258301;289180;306037;;153261;173633;188449;201404;;219849;236551;266354;275619;;311509;322253;358730;379266;;467240;485815;551856;598844;;178575;199998;224409;250591;;119324;135417;155118;172349;;178634;199434;222673;244887;;233809;256838;285429;318069;;317249;346929;406699;435657;;
0401000;"Powiat aleksandrowski";175734;174869;192455;221269;;119164;126625;128000;179608;;182778;172977;190100;211630;;239458;210500;237333;267073;;0;0;0;0;;151056;167906;168518;230989;;98248;107156;125315;153556;;162929;183205;188418;254367;;202000;245901;285222;291364;;279667;231223;0;455507;;
0402000;"Powiat brodnicki";188961;197524;208942;209646;;135365;136966;149859;163482;;185748;200856;216206;209202;;240399;265339;278136;293569;;436585;0;0;359505;;145844;146698;165777;200597;;99041;83618;90225;144860;;150445;159719;188443;201568;;161867;186384;159753;245831;;206025;163297;266604;288357;;
