"Kod";"Nazwa";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;ogółem;2021;[zł]";"rynek pierwotny;ogółem;2022;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;do 40 m2;2021;[zł]";"rynek pierwotny;do 40 m2;2022;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2021;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2022;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2021;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2022;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2021;[zł]";"rynek pierwotny;od 80,1 m2;2022;[zł]";
0609000;"Powiat lubelski";17425646;19426716;16448860;31102426;;2085587;2716510;0;1300471;;7409854;6197437;4513736;8450828;;6304657;6295769;4388124;3642701;;1625548;4217000;7547000;17708426;;
0610000;"Powiat łęczyński";0;11977148;0;0;;0;1543433;0;0;;0;5482147;0;0;;0;4545568;0;0;;0;0;0;0;;
0611000;"Powiat łukowski";0;0;4526099;16589119;;0;0;0;1112900;;0;0;1667473;9977342;;0;0;2858626;5498877;;0;0;0;0;;
0612000;"Powiat opolski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
0613000;"Powiat parczewski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
0614000;"Powiat puławski";10613096;37609933;53660969;24707373;;1848935;11184822;3732085;3569854;;2222152;21768863;31524779;13326284;;3607671;2649800;13337172;6581039;;2934338;2006448;5066933;1230196;;
0615000;"Powiat radzyński";10672281;8827527;3015488;6098887;;530487;496999;484182;0;;7812413;3891176;1561551;5693887;;2329381;4439352;969755;0;;0;0;0;0;;
0616000;"Powiat rycki";1833688;0;0;2948966;;0;0;0;0;;1042746;0;0;2321065;;790942;0;0;0;;0;0;0;0;;
0617000;"Powiat świdnicki";0;6423287;7158660;14251909;;0;0;0;0;;0;2644483;2777326;5720095;;0;3626804;3902334;2758943;;0;0;0;5268871;;
0618000;"Powiat tomaszowski";427184;1131677;4217382;0;;0;0;498104;0;;427184;0;2631591;0;;0;620120;1087687;0;;0;0;0;0;;
0619000;"Powiat włodawski";6858871;0;1088645;1666100;;0;0;310320;0;;5954468;0;778325;1042980;;809095;0;0;0;;0;0;0;0;;
0620000;"Powiat zamojski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;
0661000;"Powiat m. Biała Podlaska";14354909;15472845;43047179;39640130;;1533816;1934759;4299446;6654501;;5887996;7602074;20284857;18935919;;2420827;3772112;13073760;10590395;;4512270;2163900;5389116;3459315;;
0662000;"Powiat m. Chełm";3542469;13466020;14120014;33985634;;0;0;4683351;7342906;;1731669;7669030;5792669;10464381;;1525000;5650990;3083994;11765972;;0;0;560000;4412375;;
0663000;"Powiat m. Lublin";847636048;710647495;927411731;953628941;;89764186;94005950;176061877;157895237;;365723327;308389676;422956358;415617511;;307754566;224034132;235444556;279824490;;84393969;84217737;92948940;100291703;;
0664000;"Powiat m. Zamość";26182682;14848506;21761291;30221605;;3807546;3421398;0;5129803;;6713167;5923459;8780483;13424712;;8308181;4653747;9128139;7628637;;7353788;0;3402669;4038453;;
0800000;"LUBUSKIE";469992075;384271944;456565941;342207217;;55448937;53037455;83118852;64654771;;191754117;132740750;196207623;151010191;;175812260;146107017;114889789;95704856;;46976761;52386722;62349677;30837399;;
0801000;"Powiat gorzowski";24878276;43829145;16399279;29956048;;1218116;7583966;3420823;1323054;;9048654;22836256;6303473;12005137;;13082502;10131392;6674983;8711152;;1529004;3277531;0;7916705;;
0802000;"Powiat krośnieński";15303705;4675403;13563614;948586;;1897418;0;3591324;0;;8056746;3442205;5562626;0;;3795381;1233198;3463914;0;;1554160;0;945750;0;;
0803000;"Powiat międzyrzecki";3907016;4548631;23133380;15779282;;742860;568000;660500;534478;;1500176;920260;7814723;6246805;;806980;1514370;7511950;7322999;;857000;1546001;7146207;1675000;;
0804000;"Powiat nowosolski";14923677;12837937;34081712;33760189;;1021795;1393179;5525598;6361508;;11721659;5650206;21338685;18898539;;2180223;4854552;5411429;8500142;;0;940000;1806000;0;;
0805000;"Powiat słubicki";15593223;853500;8562392;16252329;;1175360;853500;873656;572234;;13196992;0;5990295;6477665;;530871;0;729055;5194342;;0;0;969386;4008088;;
0806000;"Powiat strzelecko-drezdenecki";3199282;1561000;4604274;8588387;;464000;0;739718;1402166;;1726782;1242000;3055158;3748546;;803500;0;0;3141540;;0;0;0;0;;
0807000;"Powiat sulęciński";0;0;0;4070340;;0;0;0;424797;;0;0;0;718870;;0;0;0;2926673;;0;0;0;0;;
0808000;"Powiat świebodziński";9954737;32224763;19031860;35540873;;1446156;578190;594000;5520051;;5263503;14194469;16083068;19907599;;3245078;15316904;1634792;8197923;;0;2135200;0;1915300;;
0809000;"Powiat zielonogórski";5395535;9582000;4028921;12027286;;768304;0;0;3802874;;3151076;7092700;1397921;6259724;;1189504;1070100;0;0;;0;1339200;2211000;1567000;;
0810000;"Powiat żagański";406603;455000;1707561;2693783;;246603;0;0;387500;;0;0;393074;702750;;0;0;1043712;1338057;;0;0;0;0;;
0811000;"Powiat żarski";20146575;11092855;16791794;10567861;;1572558;1123179;0;413440;;6652180;2271341;2752695;1561286;;8445086;7426135;11680106;7954735;;3476751;0;2190900;0;;
0812000;"Powiat wschowski";0;0;1349269;1500123;;0;0;0;0;;0;0;1049142;0;;0;0;0;0;;0;0;0;1500123;;
