"Kod";"Nazwa";"zasoby Skarbu Państwa;czynsz;2018;[zł]";"zasoby Skarbu Państwa;czynsz;2020;[zł]";"zasoby Skarbu Państwa;czynsz;2022;[zł]";"zasoby Towarzystw Budownictwa Społecznego (TBS);czynsz;2018;[zł]";"zasoby Towarzystw Budownictwa Społecznego (TBS);czynsz;2020;[zł]";"zasoby Towarzystw Budownictwa Społecznego (TBS);czynsz;2022;[zł]";"zasoby innych podmiotów;czynsz;2018;[zł]";"zasoby innych podmiotów;czynsz;2020;[zł]";"zasoby innych podmiotów;czynsz;2022;[zł]";
2400000;"ŚLĄSKIE";6,10;6,10;;10,34;11,16;;10,10;11,35;;
2401000;"Powiat będziński";0,00;0,00;;12,20;12,60;;0,00;0,00;;
2405000;"Powiat gliwicki";0,00;0,00;;11,00;10,60;;0,00;0,00;;
2407000;"Powiat lubliniecki";6,10;6,10;;9,90;10,50;;0,00;0,00;;
2409000;"Powiat myszkowski";0,00;0,00;;8,20;8,20;;0,00;0,00;;
2410000;"Powiat pszczyński";0,00;0,00;;11,20;13,60;;0,00;1,00;;
2411000;"Powiat raciborski";0,00;0,00;;3,60;3,60;;0,00;0,00;;
2413000;"Powiat tarnogórski";0,00;0,00;;7,20;7,80;;0,00;0,00;;
2416000;"Powiat zawierciański";0,00;0,00;;3,70;4,10;;0,00;0,00;;
2417000;"Powiat żywiecki";0,00;0,00;;6,90;7,50;;0,00;0,00;;
2461000;"Powiat m. Bielsko-Biała";0,00;0,00;;11,40;11,73;;0,00;0,00;;
2462000;"Powiat m. Bytom";0,00;0,00;;10,30;12,20;;8,80;8,80;;
2463000;"Powiat m. Chorzów";0,00;0,00;;3,10;3,60;;0,00;0,00;;
2464000;"Powiat m. Częstochowa";0,00;0,00;;10,20;11,50;;0,00;0,00;;
2466000;"Powiat m. Gliwice";6,10;6,10;;12,00;12,80;;13,00;23,00;;
2468000;"Powiat m. Jaworzno";0,00;0,00;;11,05;11,48;;0,00;0,00;;
2469000;"Powiat m. Katowice";0,00;0,00;;13,10;14,00;;10,70;10,70;;
2472000;"Powiat m. Ruda Śląska";0,00;0,00;;10,13;10,64;;0,00;0,00;;
2475000;"Powiat m. Sosnowiec";0,00;0,00;;11,40;2,30;;0,00;0,00;;
2477000;"Powiat m. Tychy";0,00;0,00;;9,90;13,00;;0,00;0,00;;
2478000;"Powiat m. Zabrze";0,00;0,00;;7,94;8,97;;0,00;0,00;;
2600000;"ŚWIĘTOKRZYSKIE";6,10;0,00;;11,36;12,93;;0,00;0,00;;
2607000;"Powiat ostrowiecki";0,00;0,00;;5,50;10,50;;0,00;0,00;;
2609000;"Powiat sandomierski";6,10;0,00;;0,00;0,00;;0,00;0,00;;
2610000;"Powiat skarżyski";0,00;0,00;;10,40;0,00;;0,00;0,00;;
2611000;"Powiat starachowicki";0,00;0,00;;10,20;11,80;;0,00;0,00;;
2661000;"Powiat m. Kielce";0,00;0,00;;12,30;13,40;;0,00;0,00;;
2800000;"WARMIŃSKO-MAZURSKIE";4,88;5,08;;9,51;10,32;;7,21;1,31;;
2801000;"Powiat bartoszycki";4,90;5,40;;10,00;11,00;;0,00;0,00;;
2802000;"Powiat braniewski";4,90;5,40;;0,00;0,00;;0,00;0,00;;
